data,torneo,home,away,elo_h,elo_a
15/2/25,croatia - 1. nl ,nk croatia zmijavci,nk dugopolje,1571.25,1479.07
16/2/25,italia - serie c,arezzo,torres,1697.02,1679.81
16/2/25,ungheria - nb II,szeged-csanad grosics,kozarmisleny se,1621.42,1569.43
16/2/25,camerun - elite one,canon de yaounde,fc gazelle,1739.77,1708.72
16/2/25,camerun - elite one,stade renard de melong,pwd de bamenda,1665.1,1583.45
16/2/25,spagna - segunda division,huesca,granada,1929.02,1893.83
16/2/25,portogallo - segunda liga,ud leira,academico viseu,1839.73,1762.37
16/2/25,,preston,millwall,2024.47,1977.85
16/2/25,,notts count,Colchester,1920.2,1810.99
16/2/25,brasile - campionati statali,taubate,rio claro,1608.98,1537.2
16/2/25,colombia - primera a,once caldas,deportivo pereira,1751.16,1641.96
22/2/25,giamaica - premier league,arnett gardens,portmore united,1625.86,1570.91
22/2/25,germania - bundesliga 2,sc preussen munster,jahn regensburg,1991.16,1910.5
22/2/25,Croazia - 1. nl,rudes,orijent,1620.35,1526.43
22/2/25,italia - serie b,mantova,bari,1859.2,1801.84
22/2/25,Guatemala - Liga nacional,coban imperial,xelaju,1708.07,1658.09
23/2/25,ecuador - liga pro serie a,independiente del valle,ldu quito,1934.33,1886.34
23/2/25,uk - championship,watford,Luton,1991.5,1947.03
23/2/25,Ungheria - nb2,bekescsabai elore se,soroksar,1545.82,1545.32
23/2/25,spagna - segunda division,deportivo la coruna,huesca,1951.04,1853.23
23/2/25,austria - bundesliga,scr altach,hartberg,1929.18,1906.42
23/2/25,italia - serie c,crotone,monopoli,1725.55,1633.37
23/2/25,italia - serie c,foggia,potenza,1625.58,1581.5
23/2/25,turchia - 1 lig,umraniyespor,sakaryaspor,1822.41,1777.44
23/2/25,Francia - ligue 1,Strasburgo ,brest,2106.19,2025.1
23/2/25,el Salvador - clausura,cd aguila,ad isidro Metapan,1685.01,1604.96
23/2/25,uk - league 2,barrow,carlisle,1821.0,1750.57
1/3/25,Germania - Bundesliga 2,Norimberga,Hannover 96,2093.08,2083.15
1/3/25,uk - league 1,wigan,reading,1917.65,1810.79
1/3/25,spagna - la liga,rayo vallecano,Siviglia,2200.38,2158.6
1/3/25,croazia - hnl,nk osijek,slaven belupo,1938.78,1845.86
1/3/25,spagna - segunda division,real saragozza,sporting gijon,1961.99,1904.62
1/3/25,usa - mls,real salt lake,seattle sounders,1944.68,1938.13
2/3/25,costa rica - primera division,municipal perez zeledon,santos de guapiles,1644.17,1535.87
2/3/25,cile - liga de primera,everton de vina,nublense,1651.15,1558.22
2/3/25,usa - mls,chicago fire,dc united,1818.25,1745.08
2/3/25,nicaragua - clausura,unan managua,jalapa,1437.49,1409.63
2/3/25,Grecia - superleague 2,egaleo,ilioupoli,1509.95,1434.09
2/3/25,turchia - 1 lig,boluspor,Erzurum bb,1828.51,1814.87
2/3/25,portogallo - segunda liga,portimonense,leixoes,1758.85,1727.81
2/3/25,germania - Bundesliga 2,elversberg,hertha berlino,2097.32,2063.8
2/3/25,svizzera - challenge league,neuchatel xamax,ac bellinzona,1714.49,1696.92
2/3/25,italia - serie b,catanzaro,reggiana,1881.1,1815.41
2/3/25,portogallo - primera liga,moreirense,estrela amadora,1979.57,1850.69
2/3/25,italia - serie c,campobasso,pineto,1598.9,1539.32
2/3/25,Italia - serie a,milan,Lazio,2395.55,2308.75
3/3/25,usa - mls,houston dynamo,inter miami fc,1921.95,1884.71
3/3/25,argentina - primera b metropolitana,club comunicaciones,deportivo armenio,1582.73,1536.33
3/3/25,etiopia - premier league,sidama bunna,hadiya hossana,1602.65,1492.66
3/3/25,azerbaigian - premier league,sabah,araz fk,1853.91,1788.81
3/3/25,uk - league 2,crewe,fleetwood town,1830.39,1784.23
3/3/25,brasile - campionato gaucho,brasil de pelotas,pelotas,1631.61,1522.02
